"property_id","property_name","property_address","property_street","property_city","property_state","property_zip","property_website","property_owner","property_management","property_asset_grade_market","property_asset_grade_submarket","year_built","total_units","total_square_feet","status","msa","submarket_name","survey_date","last_sale_date","last_sale_price","parcel_number","levels"
"1","The Park at Capri","129 E Villa Capri Cir, Deland, FL 32724","129 Villa Capri","Deland","FL","32724","https://theparkatcapri.com/","Blue Roc Premier LLC","Blue Roc Premier LLC","B+","B+","1990",223,199585,"Stabilized","Deltona-Daytona Beach-Ormond Beach, FL","South Volusia County","8/4/2020","2014-12-18",NULL,"7021-00-00-0300",2
"10","Country Club West","1001 50th Ave, Greeley, CO 80634","1001 50th","Greeley","CO","80634","https://www.ccwpeakliving.com/","Peak Capital Partners","Peak Living","A-","","1986",288,226080,"Stabilized","Greeley, CO","","8/3/2020",NULL,NULL,"",2
"1000","Nova Chapel Hill","5639 Old Chapel Hill Rd, Durham, NC 27707","5639 Old Chapel Hill","Durham","NC","27707","https://novachapelhill.com/","Waypoint Residential LLC","Dasmen Residential","C+","C+","1986",176,139920,"Stabilized","Raleigh/Durham, NC","Southwest Durham","8/6/2020","2015-01-13",NULL,"140327",3
"1001","The Maddox","2020 E Inverness Ave, Mesa, AZ 85204","2020 Inverness","Mesa","AZ","85204","http://www.themaddoxmesa.com/","Pathfinder Partners LLC","AMC LLC","B","A-","1985",224,187712,"Stabilized","Phoenix-Mesa-Scottsdale, AZ","Southwest Mesa","8/3/2020","2016-07-20",NULL,"140-62-002-E",2
"1002","Windmill","4165 Lacy Ln, Colorado Springs, CO 80916","4165 Lacy","Colorado","CO","80916","http://www.windmillatpeakliving.com/","Peak Capital Partners","Peak Living","B","B+","1985",304,192736,"Stabilized","Colorado Springs, CO","East Colorado Springs","8/3/2020","2014-07-01",NULL,"64232-01-004",3
"10028891","Texana","701 E Grayson St, San Antonio, TX 78208","701 Grayson","San","TX","78208",NULL,"","Drought Properties, Inc.","B","B-","1962",33,15840,"Stabilized","San Antonio-New Braunfels, TX","Central San Antonio","8/6/2020",NULL,NULL,"00046-001-0071",2
"1003","Windridge Apartments","24922 Hidden Hills Rd, Laguna Niguel, CA 92677","24922 Hidden Hills","Laguna","CA","92677","https://www.equityapartments.com/orange-county/laguna-niguel/windridge-apartments","Equity Residential","Equity Residential","B-","B-","1990",344,375304,"Stabilized","Anaheim-Santa Ana-Irvine, CA","South Orange County","8/18/2020",NULL,NULL,"653-172-07",2
"1004","Aurea Station","8625 Winter Oaks Ln, Charlotte, NC 28210","8625 Winter Oaks","Charlotte","NC","28210","https://www.aureastation.com/","West Shore LLC","West Shore LLC","B-","C+","1986",384,384000,"Stabilized","Charlotte-Concord-Gastonia, NC-SC","South Charlotte","8/5/2020",NULL,NULL,"",3
"1005","Wood Creek Apartments","637 Stonebridge Way, Pleasant Hill, CA 94523","637 Stonebridge","Pleasant","CA","94523","http://www.equityapartments.com/california/san-francisco-bay-apartments/pleasant-hill/wood-creek-apartments.aspx","Equity Residential","Equity Residential","B","A+","1986",484,495132,"Stabilized","Oakland-Hayward-Berkeley, CA","Concord/Martinez","8/18/2020","1997-10-17",NULL,"127-310-014-7",2
"10050855","Abby Glenn","180 W Dublin Dr, Madison, AL 35758","180 Dublin","Madison","AL","35758","http://www.abbyglennapartments.com/","","Privately Managed","A+","A+","2001",119,67830,"Stabilized","Huntsville, AL","West Huntsville/Madison","8/3/2020",NULL,NULL,"16-04-20-1-002-014.001",1
"1006","The Gregory (South)","100 Appledown Dr, Cary, NC 27513","100 Appledown","Cary","NC","27513","https://bhmanagement.com/communities/the-gregory-north-south-apartments/","Acre Valley Real Estate","BH Management","B+","B+","1992",344,298936,"Stabilized","Raleigh/Durham, NC","North Cary/Morrisville","8/18/2020","2010-03-15",NULL,"0764.12-76-9868000",3
"1007","Arbor Creek","3280 SW 170th Ave, Beaverton, OR 97003","3280 170th","Beaverton","OR","97003","http://www.arborcreekapthomes.com/","Security Properties","Security Properties","B","B","1983",360,265680,"Stabilized","Portland-Vancouver-Hillsboro, OR-WA","Aloha/West Beaverton","8/5/2020",NULL,NULL,"R1263377",2
"1009","Avana Druid Hills","3471 N Druid Hills Rd NE, Decatur, GA 30033","3471 Druid Hills","Decatur","GA","30033","https://www.avanadruidhills.com/","Edge Principal Advisors","Greystar","B-","C+","1984",228,276108,"Stabilized","Atlanta-Sandy Springs-Roswell, GA","Decatur","8/18/2020",NULL,NULL,"",3
"101","Residence at Christopher Wren","1390 Christopher Wren Dr, Columbus, OH 43230","1390 Christopher Wren","Columbus","OH","43230","http://www.residenceatchristopherwren.com/","Brookfield Asset Management","Fairfield Residential","B","A-","1993",264,283536,"Stabilized","Columbus, OH","Gahanna/Northeast Columbus","8/7/2020",NULL,NULL,"025-004278",2
"1010","South Lamar Village","3505 S Lamar Blvd, Austin, TX 78704","3505 Lamar","Austin","TX","78704","http://www.liveatsouthlamarvillage.com/","Resource America Inc","Greystar","A","B","1981",208,151632,"Stabilized","Austin-Round Rock, TX","South Austin","8/18/2020","2015-02-26",NULL,"306031",2
"1011","Legacy at Six Forks I","6317 Shanda Drive, Raleigh, NC 27609","6317 Shanda","Raleigh","NC","27609","https://www.sixforksapts.com/","Cedar Grove Capital","Covenant Property Services","C+","C+","1980",240,186240,"Stabilized","Raleigh/Durham, NC","Near North Raleigh","8/12/2020","2020-01-31",NULL,"1707.20-80-8459000",3
"1012","Woodside","7525 Woodside Ln, Lorton, VA 22079","7525 Woodside","Lorton","VA","22079","http://www.woodsideapartmentslorton.com/","L3C Capital Partners LLC","RAM Partners LLC","C+","B-","1987",252,232848,"Stabilized","Washington-Arlington-Alexandria, DC-VA-MD-WV","South Fairfax County","8/24/2020","2018-02-26",NULL,"1083-01-0015",3
"1013","Hickory Grove Apartments","6277 Lake Arbor Dr, Memphis, TN 38115","6277 Lake Arbor","Memphis","TN","38115","https://www.livehickorygrove.com/","Multi-South Management Services","Multi-South Management Services","","","1988",568,529944,"Stabilized","Memphis, TN-MS-AR","South Memphis","8/6/2020","2020-01-17",NULL,"093-200 -337C",3
"1014","The Pointe at Harper`s Mill II","600 Harpers Mill Rd, Millersville, MD 21108","600 Harpers Mill","Millersville","MD","21108","http://www.liveattp.com/","Quest Management Group","Quest Management Group","B+","B+","1974",214,199448,"Stabilized","Baltimore-Columbia-Towson, MD","Northeast Anne Arundel County","8/10/2020",NULL,NULL,"",4
"1016","2300 Elliott Apartments","2300 Elliott Ave, Seattle, WA 98121","2300 Elliott","Seattle","WA","98121","http://2300elliottapartments.com/","Equity Residential","Equity Residential","B+","C","1992",92,68632,"Stabilized","Seattle-Bellevue-Everett, WA","Downtown Seattle","8/28/2020",NULL,NULL,"065400-0285",5
"1017","Atrium","3800 Meriwether Dr, Durham, NC 27704","3800 Meriwether","Durham","NC","27704","http://www.gscapts.com/apartments/Durham_NC/zip_27704/gsc/4503","General Services Corporation","General Services Corporation","B+","A+","1989",208,196352,"Stabilized","Raleigh/Durham, NC","East Durham","8/7/2020","1999-03-02",NULL,"172109",2
"1018","Augusta","4001 NW 122nd St, Oklahoma City, OK 73120","4001 122nd","Oklahoma","OK","73120","http://www.augusta-apts.com/","Independence Realty Trust","Independence Realty Trust","B","B","1986",197,158191,"Stabilized","Oklahoma City, OK","North Central Oklahoma City","8/18/2020","2014-02-28",NULL,"134652050",3
