"property_id","date_added","unit_mix_id","type","area","quantity","avg_market_rent","avg_effective_rent"
"1","2020-09-12",1,"1B/1B/0",733,96,939,939
"1","2020-09-12",2,"2B/1B/1",955,48,1139,1139
"1","2020-09-12",3,"2B/2B/0",1056,79,1214,1214
"1","2020-09-23",1,"1B/1B/0",733,96,939,939
"1","2020-09-23",2,"2B/1B/1",955,48,1139,1139
"1","2020-09-23",3,"2B/2B/0",1056,79,1214,1214
"10","2020-09-12",1,"1B/1B/0",620,128,1092,1092
"10","2020-09-12",2,"1B/1B/0",710,32,1221,1221
"10","2020-09-12",3,"1B/1B/0 D",800,32,1204,1204
"10","2020-09-12",4,"2B/2B/0",965,32,1353,1353
"10","2020-09-12",5,"2B/2B/0",1000,16,1583,1583
"10","2020-09-12",6,"2B/2B/0 D",1050,32,1433,1433
"10","2020-09-12",7,"2B/2B/0 D",1120,16,1360,1360
"10","2020-09-23",1,"1B/1B/0",620,128,1092,1092
"10","2020-09-23",2,"1B/1B/0",710,32,1221,1221
"10","2020-09-23",3,"1B/1B/0 D",800,32,1204,1204
"10","2020-09-23",4,"2B/2B/0",965,32,1353,1353
"10","2020-09-23",5,"2B/2B/0",1000,16,1583,1583
"10","2020-09-23",6,"2B/2B/0 D",1050,32,1433,1433
"10","2020-09-23",7,"2B/2B/0 D",1120,16,1360,1360
"1000","2020-09-24",1,"1B/1B/0",550,24,859,823
"1000","2020-09-24",2,"1B/1B/0",670,68,879,842
"1000","2020-09-24",3,"2B/2B/0",930,72,959,919
"1000","2020-09-24",4,"2B/2B/1 T",1135,4,1049,1005
"1000","2020-09-24",5,"3B/2B/0",1200,8,1149,1101
"1001","2020-09-24",1,"1B/1B/0",642,36,1038,1038
"1001","2020-09-24",2,"1B/1B/0",688,22,1047,1047
"1001","2020-09-24",3,"1B/1B/0",704,36,1066,1066
"1001","2020-09-24",4,"1B/1B/0",740,18,1068,1068
"1001","2020-09-24",5,"2B/2B/0",932,18,1166,1166
"1001","2020-09-24",6,"2B/2B/0",964,36,1192,1192
"1001","2020-09-24",7,"2B/2B/0",982,22,1252,1252
"1001","2020-09-24",8,"2B/2B/0",1049,36,1290,1290
"1002","2020-09-24",1,"1B/1B/0",500,64,755,755
"1002","2020-09-24",2,"1B/1B/0",600,144,919,919
"1002","2020-09-24",3,"1B/1B/0 D",700,32,1074,1074
"1002","2020-09-24",4,"2B/1B/0",720,32,1099,1099
"1002","2020-09-24",5,"2B/2B/0",900,32,1313,1313
"10028891","2020-09-23",1,"1B/1B/0",480,33,649,649
"1003","2020-09-24",1,"2B/2B/0",1050,272,2188,2188
"1003","2020-09-24",2,"3B/2B/0",1246,72,2767,2767
"1004","2020-09-24",1,"1B/1B/0",715,24,889,889
"1004","2020-09-24",2,"1B/1B/0",835,132,919,919
"1004","2020-09-24",3,"2B/1B/0",1089,34,1144,1144
"1004","2020-09-24",4,"2B/2B/0",1090,36,1159,1159
"1004","2020-09-24",5,"2B/2B/0",1096,94,1159,1159
"1004","2020-09-24",6,"2B/2B/0 T",1245,10,1439,1439
"1004","2020-09-24",7,"3B/2B/0",1198,54,1349,1349
"1005","2020-09-24",1,"1B/1B/0",790,76,2339,2339
"1005","2020-09-24",2,"2B/2B/0",1019,68,2645,2645
"1005","2020-09-24",3,"2B/2B/0",1019,68,2683,2683
"1005","2020-09-24",4,"2B/2B/0",1029,68,2740,2740
"1005","2020-09-24",5,"2B/2B/0",1029,68,2728,2728
"1005","2020-09-24",6,"2B/2B/0",1090,68,2789,2789
"1005","2020-09-24",7,"2B/2B/0",1212,68,3293,3293
"10050855","2020-09-20",1,"1B/1B/0",545,83,929,929
"10050855","2020-09-20",2,"1B/1B/0",620,35,999,999
"10050855","2020-09-20",3,"2B/2B/0",850,1,1000,1000
"10050855","2020-09-23",1,"1B/1B/0",545,83,929,929
"10050855","2020-09-23",2,"1B/1B/0",620,35,999,999
"10050855","2020-09-23",3,"2B/2B/0",850,1,1000,1000
"1006","2020-09-24",1,"1B/1B/0",689,44,1227,1227
"1006","2020-09-24",2,"1B/1B/0",697,45,1084,1084
"1006","2020-09-24",3,"1B/1B/0",700,45,1004,1004
"1006","2020-09-24",4,"2B/2B/0",938,55,1201,1201
"1006","2020-09-24",5,"2B/2B/0",955,55,1081,1081
"1006","2020-09-24",6,"2B/2B/0",990,55,1143,1143
"1006","2020-09-24",7,"3B/2B/0",1000,22,1165,1165
"1006","2020-09-24",8,"3B/2B/0",1100,23,1333,1333
"1007","2020-09-24",1,"1B/1B/0",610,220,1180,1180
"1007","2020-09-24",2,"2B/2B/0",910,80,1360,1360
"1007","2020-09-24",3,"2B/2B/0",980,60,1400,1400
"1009","2020-09-24",1,"1B/1B/0",860,44,1240,1240
"1009","2020-09-24",2,"1B/1B/0",1005,20,1273,1273
"1009","2020-09-24",3,"2B/2B/0",1270,48,1108,1108
"1009","2020-09-24",4,"2B/2B/0",1355,116,1421,1421
"101","2020-09-12",1,"1B/1B/0",818,64,965,965
"101","2020-09-12",2,"2B/2B/0",1088,128,1260,1260
"101","2020-09-12",3,"2B/2B/1 T",1275,72,1330,1330
"101","2020-09-23",1,"1B/1B/0",818,64,965,965
"101","2020-09-23",2,"2B/2B/0",1088,128,1260,1260
"101","2020-09-23",3,"2B/2B/1 T",1275,72,1330,1330
"1010","2020-09-24",1,"0B/1B/0",398,20,1010,1010
"1010","2020-09-24",2,"1B/1B/0",623,44,1246,1246
"1010","2020-09-24",3,"1B/1B/0",664,64,1272,1272
"1010","2020-09-24",4,"2B/1B/0",859,24,1448,1448
"1010","2020-09-24",5,"2B/1B/0",881,16,1426,1426
"1010","2020-09-24",6,"2B/2B/0",978,40,1586,1586
"1011","2020-09-24",1,"1B/1B/0",640,96,851,780
"1011","2020-09-24",2,"1B/1B/0 L",708,32,915,839
"1011","2020-09-24",3,"1B/1B/0 D",811,48,985,903
"1011","2020-09-24",4,"2B/2B/0",987,64,1030,944
"1012","2020-09-24",1,"1B/1B/0",724,87,1366,1366
"1012","2020-09-24",2,"1B/1B/0",922,19,1500,1500
"1012","2020-09-24",3,"2B/1B/0",903,42,1780,1780
"1012","2020-09-24",4,"2B/2B/0",1000,12,1880,1880
"1012","2020-09-24",5,"2B/2B/0",1055,33,1889,1889
"1012","2020-09-24",6,"2B/2B/0",1110,35,1764,1764
"1012","2020-09-24",7,"3B/2B/0",1195,24,1832,1832
"1013","2020-09-24",1,"1B/1B/0",570,20,660,640
"1013","2020-09-24",2,"1B/1B/0",602,36,680,660
"1013","2020-09-24",3,"1B/1B/0",700,54,700,680
"1013","2020-09-24",4,"1B/1B/0",765,72,715,690
"1013","2020-09-24",5,"1B/1B/0",793,46,730,725
"1013","2020-09-24",6,"1B/1B/0",874,24,750,750
"1013","2020-09-24",7,"1B/1B/0",945,32,800,780
"1013","2020-09-24",8,"1B/1B/0 D",962,24,805,805
"1013","2020-09-24",9,"2B/1B/0",1120,18,825,825
"1013","2020-09-24",10,"2B/2B/0",1015,60,840,840
"1013","2020-09-24",11,"2B/2B/0",1080,48,855,855
"1013","2020-09-24",12,"2B/2B/0",1092,66,875,875
"1013","2020-09-24",13,"3B/2B/0",1289,36,969,969
"1013","2020-09-24",14,"3B/2B/0",1314,32,985,985
"1014","2020-09-24",1,"1B/1B/0",840,38,1349,1349
"1014","2020-09-24",2,"2B/1B/0 T",940,155,1545,1545
"1014","2020-09-24",3,"3B/1B/0 T",1044,21,1691,1691
"1016","2020-09-24",1,"0B/1B/0",430,9,1661,1661
"1016","2020-09-24",2,"0B/1B/0",625,2,1696,1696
"1016","2020-09-24",3,"1B/1B/0",728,54,1861,1861
"1016","2020-09-24",4,"1B/1B/0 T",860,3,2465,2465
"1016","2020-09-24",5,"1B/1B/0 D",950,3,2030,2030
